name,bot #,year,month,day,hour,min,sec,reading count,trial length,amb temp,track motor temp,track drive temp,track current,track rpm,all prof track follow err,conveyer drive temp,conveyer current,conveyer rpm,u asc,u dsc,u ht,u hb,u tcu,u tcd,u bcu,u bcd,l asc,l dsc,l ht,l hb,l tcu,l tcd,l bcu,l bcd
iBot116_20190329_081241,116.0,2019.0,3.0,29.0,8.0,12.0,41.0,208588.0,-0.001483333,2586.0,2500.0,700.0,1839.0,6503.0,59.0,6324.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,505.0,26.0,32.0,38.0,13.0,16.0,372.0
iBot116_20190328_105033,116.0,2019.0,3.0,28.0,10.0,50.0,33.0,93093.0,-0.001833333,285.0,164.0,620.0,2030.0,7209.0,0.0,6243.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,155.0,19.0,28.0,48.0,15.0,16.0,145.0
iBot116_20190322_091503,116.0,2019.0,3.0,22.0,9.0,15.0,3.0,194359.0,-0.001666667,370.0,818.0,700.0,2040.0,6307.0,0.0,6327.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,235.0,19.0,18.0,33.0,11.0,12.0,304.0
iBot116_20190319_113224,116.0,2019.0,3.0,19.0,11.0,32.0,24.0,2943.0,3.849966667,318.0,686.0,500.0,1748.0,7365.0,0.0,6264.0,320.0,0.0,76.0,48.0,30.0,62.0,26.0,28.0,28.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot116_20190319_112838,116.0,2019.0,3.0,19.0,11.0,28.0,38.0,2481.0,-0.00105,317.0,658.0,500.0,1763.0,7340.0,0.0,6264.0,320.0,0.0,73.0,59.0,21.0,55.0,23.0,29.0,33.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot116_20190319_095906,116.0,2019.0,3.0,19.0,9.0,59.0,6.0,8764.0,3.907466667,268.0,501.0,450.0,1600.0,7439.0,0.0,6222.0,320.0,0.0,44.0,39.0,21.0,48.0,19.0,41.0,43.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot116_20190319_095152,116.0,2019.0,3.0,19.0,9.0,51.0,52.0,5087.0,-0.00025,270.0,217.0,420.0,1557.0,7694.0,0.0,6213.0,350.0,0.0,48.0,36.0,22.0,42.0,18.0,22.0,22.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot116_20190314_145001,116.0,2019.0,3.0,14.0,14.0,50.0,1.0,39526.0,27.4736,398.0,583.0,680.0,902.0,0.0,0.0,6341.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot107_20190301_145030,107.0,2019.0,3.0,1.0,14.0,50.0,30.0,4919.0,35.64606667,276.0,545.0,420.0,1981.0,7750.0,0.0,6238.0,270.0,0.0,63.0,43.0,57.0,76.0,24.0,51.0,26.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot107_20190226_144341,107.0,2019.0,2.0,26.0,14.0,43.0,41.0,3561.0,6.670016667,271.0,546.0,420.0,2008.0,7734.0,0.0,6236.0,320.0,0.0,47.0,40.0,35.0,283.0,24.0,23.0,26.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
