name,bot #,year,month,day,hour,min,sec,reading_count,slow_pos_err_avg,slow_pos_err_std,slow_pos_err_avg+3s,slow_vel_err_avg,slow_vel_err_std,slow_vel_err_avg+3s,slow_phaseA_avg,slow_phaseA_std,slow_phaseA_avg+3s,fast_pos_err_avg,fast_pos_err_std,fast_pos_err_avg+3s,fast_vel_err_avg,fast_vel_err_std,fast_vel_err_avg+3s,fast_phaseA_avg,fast_phaseA_std,fast_phaseA_avg+3s
iBot999_20190408_134437,999.0,2019.0,4.0,8.0,13.0,44.0,37.0,1023.0,0.7435233160621761,0.7688899204987406,3.050193077558398,155.98290155440463,114.98722376404135,500.9445728465287,0.6464470148445596,0.3262827690815244,1.6252953220891329,15.334905660377359,18.698421555107355,71.43017032569942,848.7778877358489,1962.260359987362,6735.558967697935,1.9904717726257861,2.1148232798292637,8.334941612113578
iBot999_20190408_135333,999.0,2019.0,4.0,8.0,13.0,53.0,33.0,1023.0,1.7564766839378239,1.2884187512900178,5.621732937807877,198.51347150259113,152.77007636848091,656.823700608034,0.6023315394559585,0.3358173783260495,1.609783674434107,15.13993710691824,18.73959745437302,71.3587294700373,855.5089971698114,1901.0660650989323,6558.707192466609,1.9445821681603774,2.0762803421825247,8.17342319470795
iBot999_20190408_135957,999.0,2019.0,4.0,8.0,13.0,59.0,57.0,1023.0,0.661498708010336,0.6531238818556093,2.620870353577164,191.83591731266145,161.2606849956222,675.617972299528,1.0743006080878552,0.54885303374941,2.720859709336085,14.294488188976377,15.313646761728544,60.235428474162006,689.5518220472441,1595.3024038197618,5475.4590335065295,1.6381102214015748,1.9712042443315367,7.551722954396185
iBot999_20190408_140601,999.0,2019.0,4.0,8.0,14.0,6.0,1.0,1023.0,0.3704663212435233,0.5489619863880912,2.0173522804077972,151.54922279792765,98.36924507191074,446.65695801365985,0.8631902835751295,0.4432825729062786,2.1930380022939655,13.117924528301886,13.939134038127252,54.93532664268364,633.0222372641509,1507.7635864806164,5156.312996706,1.5114914014622642,1.82219014405422,6.978061833624924
iBot999_20190408_141516,999.0,2019.0,4.0,8.0,14.0,15.0,16.0,1023.0,0.35917312661498707,0.5646653725020627,2.0531692441211753,132.4286821705429,116.05760754240097,480.6015047977458,0.8558582174677003,0.4283073789114339,2.140780354202002,13.426771653543307,14.025289511111298,55.5026401868772,604.5614957480316,1499.3863589741602,5102.720572670512,1.465934748503937,1.8248108434367456,6.940367278814174
iBot999_20190408_142223,999.0,2019.0,4.0,8.0,14.0,22.0,23.0,1023.0,0.11658031088082901,0.44358013964407417,1.4473207298130515,59.240155440415215,61.52093314085131,243.80295486296916,1.018386328238342,0.5101028961449211,2.548695016673105,13.127358490566039,14.227216014776912,55.809006534896774,608.4633528301887,1516.809756165102,5158.8926213254945,1.510637739874214,1.7446860886432456,6.7446960058039505
iBot999_20190408_142930,999.0,2019.0,4.0,8.0,14.0,29.0,30.0,1023.0,0.17447916666666666,0.4988495794917491,1.671027905141914,194.67890625000035,158.8770309510265,671.3099991030799,0.8741888764583333,0.440421901475861,2.1954545808859165,13.233542319749215,14.023203589894782,55.303153089433565,618.9035880877743,1468.4418809574317,5024.22923096007,1.4366457488087774,1.7885352202054758,6.802251409425205
iBot116_20190422_144752,116.0,2019.0,4.0,22.0,14.0,47.0,52.0,1023.0,0.2815734989648033,0.4502327755276248,1.6322718255476778,451.91552795031015,283.49599956759596,1302.403526653098,0.36683817567287785,0.3031361534612326,1.2762466360565756,18.7847866419295,26.601039587899493,98.58790540562798,1986.8859974025975,3891.332990451947,13660.884968758439,2.585603477792208,5.259872167947334,18.36521998163421
iBot116_20190422_142727,116.0,2019.0,4.0,22.0,14.0,27.0,27.0,1023.0,0.5984455958549223,0.596001977155077,2.386451527320153,475.5867875647667,325.55951047994125,1452.2653190045903,0.36740190531088085,0.2204477470053324,1.028745146326878,48.85220125786164,80.05362481200045,289.01307569386296,6716.872538522012,12288.966805350601,43583.77295457381,2.2625023066037735,5.1956271553482924,17.84938377264865
iBot116_20190422_135246,116.0,2019.0,4.0,22.0,13.0,52.0,46.0,1023.0,0.2532299741602067,0.44133412475036454,1.5772323484113002,439.70465116279,268.15043111820705,1244.1559445174112,0.3808784996382429,0.30245576640330424,1.2882457988481555,15.971653543307086,25.67245420660418,92.98901616311962,1659.4673111811023,3597.440727287356,12451.78949304317,2.279316135086614,4.963534521748321,17.169919700331576
